keyframe_id,time,x,y,theta,dr_x,dr_y,dr_theta,cov_xx,cov_yy,cov_tt,nssm_constraints
0,1506456461.865,0.017556006205268204,0.012255005538463593,1.578561056853968,0.017556006205268204,0.012255005538463593,1.578561056853968,0.01,0.01,0.0001,0
1,1506456482.444,2.810177647900143,-0.28399802321354334,2.1343214103020745,2.8101776479001424,-0.28399802321354334,2.1343214103020745,0.2604851313768273,0.26030351877224356,0.0025999999999999994,0
2,1506456492.955,5.299522567253654,-2.0408320687777715,2.4659664262404943,5.2995225672536534,-2.0408320687777715,2.4659664262404943,0.5103758252549935,0.5360438684515946,0.0050999999999999995,0
3,1506456503.014,7.132251540903015,-4.437959231183989,2.473905686152644,7.132251540903015,-4.437959231183989,2.473905686152644,0.7623380967041195,0.8773063096700495,0.007600000000000007,0
4,1506456522.53,8.666402935774714,-6.313739072503982,3.008262764359906,8.666402935774714,-6.3137390725039815,3.008262764359906,1.122872722543385,1.1739067027296601,0.010100000000000005,0
5,1506456544.766,8.61756931999785,-7.7483395443171945,-2.7409885679222534,8.617569319997852,-7.748339544317193,-2.7409885679222534,1.624164045896412,1.2798859552095327,0.01260000000000001,0
6,1506456578.602,7.772677827344901,-10.693424476570456,3.1331328365669737,7.7726778273449035,-10.693424476570453,3.1331328365669737,2.143816506660674,1.6008467581025771,0.015099999999999968,0
7,1506456588.8,7.754592893196712,-13.73852897830746,3.129916672995986,7.7545928931967145,-13.738528978307455,3.129916672995986,3.034908912771002,1.8526907271517363,0.01759999999999999,0
8,1506456598.932,8.048644339835475,-16.751725791116183,2.985440809878267,8.048644339835478,-16.751725791116176,2.985440809878267,4.07123207732406,2.2626386258428948,0.020099999999999976,0
9,1506456613.197,8.452891801827002,-19.7300733897337,-3.097248819085087,8.452891801827006,-19.730073389733693,-3.097248819085087,5.773701846076771,2.341420849377466,0.02259999999999997,0
10,1506456640.291,8.134778543352429,-22.72703910753246,-2.876362543904769,8.134778543352432,-22.727039107532452,-2.876362543904769,7.538760376448129,2.7106361545801816,0.025099999999999862,0
11,1506456650.488,7.334159064367765,-25.667446996370504,-2.956679723171324,7.3341590643677685,-25.667446996370497,-2.956679723171324,9.773022130871746,2.992370733096727,0.027599999999999514,0
12,1506456660.575,7.080762085221156,-28.691923047220314,-3.0755148971682766,7.08076208522116,-28.691923047220307,-3.0755148971682766,12.718596606208694,3.1171342808693105,0.030099999999999464,0
13,1506456670.726,7.081615653987106,-31.72468934668426,3.1068756507054394,7.081615653987109,-31.72468934668425,3.1068756507054394,16.075630311272217,3.3669110619160514,0.03259999999999944,0
14,1506456680.765,7.104796809773204,-34.74412852223799,-3.090009919328604,7.104796809773208,-34.74412852223798,-3.090009919328604,19.98465324258105,3.6237058775751962,0.035099999999999534,0
15,1506456690.892,6.74646501643519,-37.74998338141885,-2.953990857192465,6.746465016435194,-37.749983381418836,-2.953990857192465,23.7500128305855,4.628144958976033,0.03759999999999928,0
16,1506456700.786,6.610166189064922,-38.65812575458536,2.787555746796507,6.610166189064926,-38.65812575458535,2.787555746796507,23.72258271672747,6.575390784133976,0.04009999999999872,0
17,1506456710.237,6.861544369509262,-38.887232247372445,2.259595697170256,6.86154436950927,-38.887232247372424,2.259595697170256,13.506656618055647,17.64982863607406,0.04259999999999879,0
18,1506456720.412,9.494851992060148,-40.448530189928206,1.985869423762282,9.494851992060159,-40.448530189928185,1.985869423762282,7.255223271855695,27.254164156901446,0.0450999999999979,0
19,1506456730.564,12.353109174988143,-41.46578060561499,1.8795420593262966,12.353109174988148,-41.46578060561497,1.8795420593262966,5.554759540100908,32.21878076921081,0.04759999999999774,0
20,1506456740.719,15.280705372701574,-42.2666689884138,1.7357320940329704,15.280705372701576,-42.26666898841378,1.7357320940329704,6.156915752257444,35.36921220821785,0.05009999999999709,0
21,1506456750.727,18.256851312994343,-42.65228716756047,1.6937265300403566,18.256851312994346,-42.65228716756045,1.6937265300403566,8.60986373599764,36.800694792575825,0.052599999999997836,0
22,1506456760.744,21.24713202751751,-43.00088166311599,1.6531146318371,21.247132027517512,-43.00088166311597,1.6531146318371,12.567416739036592,37.59796247940164,0.05509999999999842,0
23,1506456772.771,24.226661645168804,-42.6295378682462,1.274919710365145,24.226661645168804,-42.62953786824618,1.274919710365145,30.151983962097425,24.296960166703602,0.057599999999998375,0
24,1506456782.852,27.015822381803957,-41.48794250863785,1.114275665012412,27.015822381803957,-41.487942508637836,1.114275665012412,40.96093102642016,16.973202482774717,0.060099999999999286,0
25,1506456842.015,29.04285670075744,-39.25982806273582,0.7377701530082962,29.04285670075744,-39.25982806273581,0.7377701530082962,47.072244933598135,11.91989993029316,0.06259999999999763,0
26,1506456852.059,31.153744745472707,-37.09442686412254,0.8178102583109794,31.15374474547271,-37.094426864122525,0.8178102583109794,47.515708458768074,13.937367361670137,0.06509999999999956,0
27,1506456862.246,33.40225278252219,-35.03367251282264,0.8274446387610868,33.4022527825222,-35.03367251282263,0.8274446387610868,48.52921058824684,17.041495433335545,0.06760000000000173,0
28,1506456882.439,35.40796953697607,-32.75629787679753,0.5829007261552654,35.407969536976076,-32.756297876797525,0.5829007261552657,41.86559903588643,28.15268896017951,0.07010000000000546,0
29,1506456926.62,37.28440226525901,-30.4023988036393,0.539367180496905,37.28440226525901,-30.402398803639294,0.5393671804969051,38.47256026246803,36.800412996727346,0.07260000000000323,0
30,1506456936.679,39.128286605209894,-28.015308711766227,0.7785328215663292,39.128286605209894,-28.015308711766227,0.7785328215663294,45.9840233397998,35.71858649939575,0.07510000000000404,0
31,1506456967.966,40.26585583193497,-26.860505348893515,0.20794324094721175,40.26585583193498,-26.86050534889352,0.20794324094721195,25.16938939573638,61.30341715985044,0.0776000000000047,0
32,1506456981.182,39.9678920998695,-23.853125134994617,-0.11894929131149463,39.967892099869516,-23.85312513499462,-0.11894929131149445,24.58474234567246,62.42661103496596,0.08010000000000725,0
33,1506456991.262,39.77972680340571,-20.83903742158559,-0.007484282027847963,39.77972680340572,-20.839037421585598,-0.007484282027847788,26.425363172211004,62.977225306537534,0.08260000000000596,0
34,1506457020.382,39.82691860582589,-19.67655574975991,-0.542498463643329,39.826918605825895,-19.676555749759917,-0.5424984636433288,46.31371544304171,45.154675996447644,0.08510000000000709,0
35,1506457040.085,37.67543258762331,-17.557894702788044,-0.8858376322181674,37.67543258762332,-17.557894702788055,-0.8858376322181671,58.18603519131945,29.325135420199622,0.08760000000000374,0
