time,x,y,z,qx,qy,qz,qw
1780300870.0589373,0.017285266769626165,-0.012634004405969096,0.0,0.0,0.0,-0.006995019747691575,0.9999755345500856
1780300870.2123113,0.02762877977187831,-0.02237630600683058,0.0,0.0,0.0,-0.013500831087678555,0.9999088596266872
1780300870.402012,0.039646395764325416,-0.03369540483506691,0.0,0.0,0.0,-0.016155491394172883,0.9998694915326763
1780300870.5694377,0.050049707846219274,-0.043494029150744344,0.0,0.0,0.0,-0.017065773260978377,0.9998543690873211
1780300870.7330077,0.06021386642433392,-0.05306740173199883,0.0,0.0,0.0,-0.017955115725020676,0.9998387939159498
1780300870.9298873,0.07223148235858713,-0.06438650055896897,0.0,0.0,0.0,-0.019006613418877282,0.999819358007408
1780300871.1284986,0.08541700785142872,-0.07871072003883196,0.0,0.0,0.0,-0.019916848462187303,0.9998016399003026
1780300871.3161867,0.09886570540963494,-0.09362678696854042,0.0,0.0,0.0,-0.020216567360437008,0.9997956243173706
1780300871.4509597,0.11231442172612122,-0.10854287480034355,0.0,0.0,0.0,-0.01858436329231471,0.9998272958071406
1780300871.6179464,0.12584224243604733,-0.12354669876536988,0.0,0.0,0.0,-0.01694250876568645,0.9998564653972712
1780300871.7831635,0.13937006310803873,-0.1385505217980278,0.0,0.0,0.0,-0.015300608552953994,0.9998829388372967
1780300871.987883,0.15289788381796482,-0.15355434576305413,0.0,0.0,0.0,-0.013658667081561906,0.9999067160558304
1780300872.1432643,0.15337453706433485,-0.1658496294024748,0.0,0.0,0.0,-0.012026290393687942,0.9999276815547046
1780300872.3132315,0.1536181573711125,-0.1780978160748637,0.0,0.0,0.0,-0.012155860737896413,0.9999261147953487
1780300872.4603243,0.15386751021240838,-0.19063420808305456,0.0,0.0,0.0,-0.01534141716869226,0.999882313534576
1780300872.6427414,0.15411113085284678,-0.2028824115304774,0.0,0.0,0.0,-0.018453593227213398,0.9998297179505141
