keyframe_id,x,y
13,13.236905246925517,11.087926322483327
13,13.28523723443621,10.277098248870288
13,13.259208721256641,10.71375832198919
13,13.242774492676759,10.989462562328868
13,13.265855955591945,10.602242853899725
13,13.251459251308148,10.843765137630044
13,13.139395415023458,12.723772751144793
13,13.161958899835412,12.345242757524602
13,13.143814798752615,12.64963219578533
13,13.127549900437856,12.92249571428124
13,13.128209403233186,12.911431750049246
13,13.090024747495065,13.552025949633276
13,13.07993836099888,13.721237392274816
13,13.210243788110162,11.535204831073202
13,13.191996182200427,11.841330689120468
13,13.215503240621118,11.446971096700622
13,13.200881821910414,11.692263239178033
13,13.167578235905822,12.250971537249484
13,13.148922398787207,12.563945972020633
13,13.179571971219474,12.049761990515208
13,13.142628919436078,12.669526768537025
13,13.22729984009662,11.24906874423084
13,13.182840658193882,11.994925777497542
13,13.165421771852465,12.287148853438111
13,13.151133112080998,12.526858558619324
13,13.176770417871907,12.096761466864677
13,13.117359101177655,13.093458808461833
13,13.10025844678222,13.38034315514642
13,13.121223054399096,13.028636277702503
13,13.103261902637598,13.32995651783176
13,13.056135996043437,14.120551112199678
13,13.04493613821272,14.308442395329962
13,13.06911359467368,13.90283605764796
13,13.036952193513727,14.442382811057428
13,13.026726325183873,14.613934231678854
13,12.992217566199827,15.192860777242913
13,13.016896317420205,14.778844608204395
13,12.991872436617896,15.198650747167108
13,12.974158527472063,15.495823190690032
13,12.976218125988368,15.461270912097689
13,12.940423274132755,16.06177323509712
13,12.937048982726914,16.118381091329013
13,12.924581814972939,16.327533045014547
13,12.884174188790467,17.00542028665882
13,12.876626053889112,17.132049461179804
13,12.832175724372888,17.8777579848595
13,12.928458592805612,16.262495365750965
13,12.883193162777246,17.021878195249656
13,12.889635373571032,16.913802247274646
13,12.868166236668898,17.273973219193408
13,12.845031035227883,17.662094456974444
13,12.88020996526793,17.071924974086357
13,12.034849301467904,31.253881765860513
13,12.03962422413573,31.17377661091425
13,12.045462952029256,31.0758248250662
13,12.055224470836201,30.91206343437186
13,12.050123052576327,30.997645951321594
13,12.07917906243739,30.510195926691107
13,12.061488277314023,30.806980436517204
13,12.051165820084194,30.98015225381032
13,12.070007000498826,30.664068459060253
13,12.08342007909019,30.439047696712148
13,12.105359112443322,30.070993638378283
13,12.092474300726536,30.28715207922196
13,12.071523319259096,30.63863036138011
13,12.066212156894222,30.72773159165756
13,12.82114548053763,18.062803786223355
13,12.7846249599721,18.675480087419203
13,12.779167463685916,18.76703624780879
13,12.824788861795085,18.001681619340275
13,12.787708541274647,18.623749247945227
13,12.787603561049956,18.6255104193296
13,12.773068907076308,18.86934697745744
13,12.735944721845769,19.4921504901057
13,12.772221064083276,18.883570578351453
13,12.719924172097237,19.760914763206415
13,12.700399666178853,20.088462177194856
13,12.657697456014972,20.80484386537887
13,12.648513218498323,20.958920657929184
13,12.70881073852717,19.94735617389432
13,12.704708451822647,20.016177039688444
13,12.71192808373982,19.89505890362375
13,12.653430605714988,20.876425486316066
13,12.490442536441645,23.610749254846695
13,12.472433264014992,23.912876777859168
13,12.431584749261852,24.59816046332554
13,12.580612746867011,22.098033933543036
13,12.607903065601299,21.640205532368498
13,12.587833740689803,21.97689294984957
13,12.57558504529532,22.182379763086544
13,12.533072480488691,22.8955799189643
13,12.566192265980973,22.339955098792302
13,12.547091369455735,22.660395948248663
13,12.616455322165308,21.496730991552113
13,12.597654498844484,21.81213774680276
13,12.543072839946696,22.727811684873416
13,12.490877551794338,23.603451341423664
13,12.516582186794217,23.17222472002169
13,12.494434395299006,23.543780950952026
13,12.456973507277546,24.172233063821466
13,12.43673879595261,24.511695040221326
13,12.470068513521241,23.952548353272846
13,12.436353291543725,24.518162347140105
13,12.496791286462422,23.504241225396044
13,12.455714879502601,24.193348080743306
13,12.449016630452704,24.305719382927123
13,12.459456857052164,24.130571840735712
13,12.453759580258179,24.22615061176566
13,12.293832961321097,26.90911481478983
13,12.238884921439137,27.83093524099195
13,12.262794791819271,27.429817986371035
13,12.243045585660498,27.761135021110434
13,12.133538869038047,29.598243831647707
13,12.180248259497487,28.81463680374536
13,12.155837519953442,29.224156749838798
13,12.141479275316826,29.46503382605249
13,12.165219503328466,29.06676252919027
13,12.149718889422491,29.326804244015676
13,12.110494730848693,29.984837372250865
13,12.099993062444755,30.1610156756944
13,12.118970174517216,29.842651461496736
13,12.101000170369204,30.144120211213
13,12.066961226263686,30.71516503883972
13,12.032780547328288,31.288587641207204
13,12.057340377411197,30.87656651937803
13,12.030471757766895,31.327320403687278
13,12.122821579764503,29.778039438317066
13,12.081339278824453,30.473955660525295
13,12.126515727472505,29.71606560227196
13,12.088428526011887,30.355024887420186
13,12.076269038981987,30.559015121473674
13,12.072023613869074,30.63023730875097
13,12.203395817394679,28.42630827133246
13,12.188519083940223,28.675883630215893
13,12.20974049588512,28.319868546771986
13,12.19206184023366,28.616449569904347
13,12.171945401899704,28.95392737254319
13,12.139994308758794,29.489945952278653
13,12.175599564909964,28.892624328599013
13,12.143203632253444,29.436105634079624
13,12.220018244307095,28.147446774292092
13,12.198542184384738,28.50773388832377
13,12.210174163518712,28.312593242981592
13,12.195261098394603,28.562778109961698
13,12.156286594144333,29.21662298224794
13,12.147018046158044,29.372114185816812
13,12.154031860088756,29.254448897650022
13,12.14835899829027,29.349618077335037
13,12.117350514074953,29.86982324200789
13,12.114423736343149,29.918923510223557
13,12.089185185167864,30.34233100667118
13,12.071594230563573,30.63744073770919
13,12.046154888748735,31.064216742175077
13,12.118171700602822,29.856046835847827
13,12.114790819559905,29.91276524128351
13,12.063025631132152,30.78118945007082
13,12.041558980417095,31.14131871316727
13,12.34127318438259,26.113247178098646
13,12.405043109767814,25.0434288565759
13,12.396720334300372,25.183053571944498
13,12.423053460369747,24.741283245857318
13,12.389655108432596,25.301581358097366
13,12.366560480429772,25.689021926937954
13,12.346298530992485,26.02894085591322
13,12.359562697263101,25.80641827947443
13,12.309375311959645,26.64837291534107
13,12.299145868627544,26.81998431098802
