keyframe_id,time,x,y,theta,dr_x,dr_y,dr_theta,cov_xx,cov_yy,cov_tt,nssm_constraints
0,1.002,0.0,0.0,0.0,0.0,-0.0,0.0,0.01,0.01,0.0001,0
1,3.001999999,-0.027571063488721848,0.030092619359493256,1.2516048502651318,-0.027571063488721848,0.030092619359493256,1.2516048502651318,0.020000126888890527,0.020000039684037643,0.0002,0
2,4.001999999,-0.018409470096230507,0.026810577139258388,0.9665645553405033,-0.018409470096230507,0.026810577139258385,0.9665645553405035,0.03000010114877183,0.03000001409345119,0.0002999999999999999,0
3,6.001999999,1.0265396833419802,1.5722861289978027,1.0082864821344382,1.02653968334198,1.5722861289978027,1.0082864821344384,0.04000092499836518,0.04104865411116813,0.0004000000000000001,0
4,7.001999999,2.0270066261291504,3.0776596069335933,0.9737266268007672,2.0270066261291504,3.0776596069335938,0.9737266268007673,0.050000404552209755,0.054384414324382825,0.0005,0
5,8.002,3.11026930809021,4.704768657684326,1.0218558380399747,3.11026930809021,4.704768657684326,1.0218558380399747,0.0600174014400019,0.07129804876951101,0.0005999999999999988,0
6,9.002,4.160370349884034,6.377689838409424,1.0444885888977509,4.160370349884033,6.377689838409424,1.0444885888977509,0.07006477737183286,0.09252181645554208,0.0006999999999999981,0
7,10.002,5.236672401428224,8.18387222290039,1.0315999147302184,5.236672401428223,8.18387222290039,1.0315999147302186,0.0800364392109549,0.12012441540359335,0.0007999999999999983,0
8,11.002,6.221802711486818,9.846686363220215,1.0339170236986153,6.221802711486816,9.846686363220215,1.0339170236986155,0.0900410086724142,0.1521060693696114,0.0008999999999999973,0
9,12.002,7.260652065277102,11.595773696899414,1.0376290575818987,7.2606520652771,11.595773696899414,1.0376290575818987,0.10005510508857139,0.19210484304473427,0.0009999999999999966,0
10,13.002,8.275754928588869,13.312427520751951,1.0393407867716804,8.275754928588867,13.312427520751953,1.0393407867716804,0.11006461528412756,0.23914550155251454,0.0011000000000000016,0
11,14.002,9.336901664733888,15.114290237426754,1.0401831142671591,9.336901664733887,15.114290237426758,1.0401831142671591,0.12007064013939218,0.29696677224486284,0.0012000000000000016,0
12,15.002,10.340958595275879,16.823549270629876,1.0405545958617937,10.340958595275879,16.823549270629883,1.0405545958617937,0.13007382786080893,0.36157790385991123,0.0012999999999999989,0
13,17.001999999,12.383179664611816,20.306165695190423,1.0408210507894093,12.383179664611816,20.30616569519043,1.0408210507894093,0.14007653024432276,0.5135941510315266,0.0013999999999999991,0
