time,vx,wz
1506456462.051,0.0,0.0752158355375745
1506456462.224,0.0,0.0752158355375707
1506456462.425,0.0,0.026417445853675916
1506456462.599,0.0,0.01046445257331271
1506456462.769,0.0,0.010464452573318229
1506456462.97,0.0,0.010464452573308561
1506456463.144,0.0,0.01046445257331654
1506456463.314,0.0,0.003526818209586731
1506456463.484,0.0,-0.019206009018699947
1506456463.655,0.0,-0.01920600901869584
1506456463.826,0.0,-0.019206009018694542
1506456463.997,0.0,-0.019206009018697137
1506456464.167,0.0,-0.019206009018693418
1506456464.337,0.0,0.0015244698838273534
1506456464.511,0.0,0.03661906255846042
1506456464.681,0.0,0.03661906255846858
1506456464.852,0.0,0.05352132956272239
1506456465.036,0.0,0.036619062558465684
1506456465.207,0.0,0.03661906255846391
1506456465.378,0.0,-0.03276552727842197
1506456465.547,0.0,-0.07831724269393285
1506456465.722,0.0,-0.07831724269393879
1506456465.894,0.0,-0.0783172426939352
1506456466.097,0.0,-0.07831724269393496
1506456466.27,0.0,0.43831717169589296
1506456466.44,0.0,0.016544119737197636
1506456466.61,0.0,0.020991357612030526
1506456466.785,0.0,0.0209913576120297
1506456466.955,0.0,0.05335972336631294
1506456467.155,0.0,0.02099135761203161
1506456467.324,0.0,-0.009678175025675688
1506456467.498,0.0,-0.03748382382011499
1506456467.667,0.0,-0.052003275705996534
1506456467.838,0.0,0.2018615856840726
1506456468.022,0.0,-0.08555281671464625
1506456468.195,0.0,-0.0512750896744686
1506456468.366,0.0,-0.004675727765164507
1506456468.566,0.0,-0.04694039727353543
1506456468.739,0.0,0.013246888956278822
1506456468.908,0.0,0.015239131623203374
1506456469.098,0.3,0.02281305738531905
1506456469.272,0.3,-0.011104962076367872
1506456469.441,0.3,-0.0367035254640804
1506456469.614,0.3,-0.011671819034364582
1506456469.788,0.3,-0.005709606873421931
1506456469.958,0.3,-0.026179130591575693
1506456470.141,0.3,-0.038295041756050224
1506456470.312,0.3,0.0003268479796350467
1506456470.483,0.3,-0.00926490651473191
1506456470.653,0.3,-0.05062348228853709
1506456470.853,0.3,-0.050623482288541154
1506456471.044,0.3,-0.05062348228853869
1506456471.215,0.3,-0.050623482288536324
1506456471.386,0.3,-0.03584713534118079
1506456471.591,0.3,-0.027817560623158655
1506456471.763,0.3,-0.02781756062316514
1506456471.933,0.3,-0.027817560623158204
1506456472.134,0.3,-0.027817560623160674
1506456472.317,0.3,-0.025319199758274635
1506456472.491,0.3,-0.01576151654944717
1506456472.712,0.3,-0.015761516549447883
1506456472.901,0.3,-0.015761516549444757
1506456473.078,0.3,-0.015761516549448414
1506456473.247,0.3,-0.015761516549452684
1506456473.42,0.3,-0.028829991975922994
1506456473.589,0.3,-0.03142713659805342
1506456473.759,0.3,-0.03142713659805411
1506456473.944,0.3,-0.03142713659805
1506456474.114,0.3,-0.03142713659805411
1506456474.344,0.3,-0.037613210730483224
1506456474.515,0.3,-0.05214524469002836
1506456474.706,0.3,-0.05214524469003338
1506456474.876,0.3,-0.05214524469003246
1506456475.077,0.3,-0.05214524469002943
1506456475.251,0.3,-0.05214524469003204
1506456475.421,0.3,-0.040772035286006626
1506456475.621,0.3,-0.038486903963788406
1506456475.8,0.3,-0.03848690396379739
1506456475.97,0.3,-0.03848690396379237
1506456476.172,0.0,-0.03848690396379626
1506456476.346,0.0,-0.03707036412140523
1506456476.516,0.0,-0.034908998696507196
1506456476.71,0.0,-0.03490899869650762
1506456476.885,0.0,-0.03490899869650932
1506456477.055,0.0,-0.034908998696507196
1506456477.241,0.0,-0.03490899869651221
1506456477.427,0.0,-0.02078631290034937
1506456477.596,0.0,-0.017391968918134017
1506456477.792,0.0,-0.017391968918148457
1506456477.996,0.0,-0.017391968918141026
1506456478.165,0.0,-0.017391968918140585
1506456478.367,0.0,-0.018939785630318815
1506456478.536,0.0,-0.02100936066816
1506456478.706,0.0,-0.021009360668162124
1506456478.944,0.0,-0.021009360668161003
1506456479.114,0.0,-0.021009360668162124
1506456479.285,0.0,-0.02146763195204432
1506456479.517,0.0,-0.03139137146615763
1506456479.692,0.0,-0.03139137146615425
1506456479.863,0.0,-0.03139137146615313
1506456480.065,0.0,-0.03139137146615677
1506456480.238,0.3,-0.03139137146615912
1506456480.408,0.3,-0.018916329213371493
1506456480.579,0.3,-0.015048188252695193
1506456480.763,0.3,-0.015048188252704334
1506456480.937,0.3,-0.01504818825269545
1506456481.147,0.3,-0.015048188252703359
1506456481.338,0.3,-0.017291783072535732
1506456481.512,0.3,-0.04195372742476408
1506456481.714,0.3,-0.041953727424762305
1506456481.884,0.3,-0.041953727424760126
1506456482.076,0.3,-0.04195372742476318
1506456482.269,0.3,-0.04195372742476278
1506456482.444,0.3,-0.023784994385133186
1506456482.614,0.3,-1.3863675175913779
1506456482.784,0.3,-0.5121806128655771
1506456482.987,0.3,0.2945481677576294
1506456483.161,0.3,2.0350019422495382
1506456483.336,0.3,0.025733469614997874
1506456483.507,0.3,0.0041908785081987004
1506456483.734,0.3,0.009757645524385678
1506456483.908,0.3,-0.16141762873659257
1506456484.111,0.3,-0.03112814662868851
1506456484.298,0.3,-0.010987494597264735
1506456484.469,0.3,-0.014984837242648985
1506456484.642,0.3,-0.012987294100391077
1506456484.815,0.3,-0.07497667999408163
1506456484.986,0.3,-0.08228735091968904
1506456485.165,0.3,-0.04414832375633865
1506456485.339,0.3,-0.05102523064161824
1506456485.509,0.3,-0.02615964376057482
1506456485.679,0.3,-0.08599157281657853
1506456485.85,0.3,0.010534193071398613
1506456486.02,0.3,0.013985145822635665
1506456486.191,0.3,-0.020819736365016973
1506456486.362,0.3,-0.07732163710096597
1506456486.553,0.3,-0.1960447107498448
1506456486.728,0.3,-0.2483693909512696
1506456486.899,0.3,-0.1241665916208792
1506456487.101,0.3,-0.12897246663795175
1506456487.288,0.3,-0.16013012453853606
1506456487.472,0.3,-0.1311905504030946
1506456487.642,0.3,-0.40758215823442706
1506456487.811,0.3,-0.3317478520281159
1506456488.008,0.3,-0.11868545873978986
1506456488.183,0.3,-0.22959997428067408
1506456488.355,0.3,-0.15199564510610636
1506456488.557,0.3,-0.15725511158595665
1506456488.73,0.3,-0.06651160218260091
1506456488.902,0.3,-0.06643885057037673
1506456489.072,0.3,-0.06226834959741241
1506456489.247,0.3,-0.06680926985319534
1506456489.424,0.3,-0.09340033220040224
1506456489.635,0.3,-0.08408078205562809
1506456489.807,0.3,-0.0672436654009715
1506456490.017,0.3,0.007146861176362804
1506456490.193,0.3,-0.02717942710257005
1506456490.368,0.3,0.013927458654710293
1506456490.541,0.3,0.00041600181663688766
1506456490.75,0.3,-0.03348146028336659
1506456490.928,0.3,-0.12015449500528304
1506456491.102,0.3,-0.03671339431231824
1506456491.306,0.3,-0.0197080478089216
1506456491.481,0.3,-0.02379214303986315
1506456491.653,0.3,0.04014499564555999
1506456491.859,0.3,-0.03874557178586519
1506456492.034,0.3,-0.03510759420547422
1506456492.206,0.3,0.09218077640697375
1506456492.404,0.3,0.0527068923282278
1506456492.582,0.3,-0.012256349753921206
1506456492.753,0.3,0.0021745405389173127
1506456492.955,0.3,-0.0018666826792231323
1506456493.129,0.3,-0.012256349753920152
1506456493.299,0.3,-0.012063205435923466
1506456493.488,0.3,0.0025414877450496585
1506456493.658,0.3,-0.010464661998093844
1506456493.828,0.3,-0.010464661998088619
1506456493.998,0.3,-0.010464661998098104
1506456494.173,0.3,-0.010464661998094359
1506456494.343,0.3,-0.009823260894084196
1506456494.512,0.3,-0.008695048661968793
1506456494.684,0.3,-0.00869504866195909
1506456494.857,0.3,0.06218825553326191
1506456495.03,0.3,0.0478081172643056
1506456495.204,0.3,-0.0834724812737866
1506456495.374,0.3,-0.016986687509428503
1506456495.544,0.3,-0.024536032930526815
1506456495.718,0.3,-0.0245360329305316
1506456495.887,0.3,-0.024536032930528695
1506456496.057,0.3,-0.024536032930526815
1506456496.231,0.3,-0.010529598476730604
1506456496.401,0.3,0.05497544001477603
1506456496.571,0.3,0.003489760736617594
1506456496.752,0.3,0.0034897607366122367
1506456496.927,0.3,-0.026693496166510466
1506456497.099,0.3,-0.08589040811670973
1506456497.301,0.3,0.0031463287384346826
1506456497.475,0.3,0.0
1506456497.677,0.3,0.0
1506456497.862,0.3,0.0
1506456498.037,0.3,0.0
1506456498.217,0.3,0.0
1506456498.419,0.3,0.003578577692447645
1506456498.597,0.3,0.0052292698922715665
1506456498.77,0.3,0.00522926989226471
1506456498.941,0.3,0.005229269892272082
1506456499.118,0.3,0.005229269892270278
1506456499.291,0.3,0.005588097719272665
1506456499.486,0.3,-0.012790421444223212
1506456499.657,0.3,-0.03060346858041127
1506456499.831,0.3,0.012172297941077045
1506456500.005,0.3,0.012172297941074493
1506456500.173,0.3,0.012172297941073626
1506456500.386,0.3,0.017156215914724583
1506456500.56,0.3,0.008729655473095505
1506456500.73,0.3,0.022761787185985545
1506456500.933,0.3,0.03143904891929186
1506456501.106,0.3,-0.005339521194838504
1506456501.277,0.3,-0.0359788074758616
1506456501.447,0.3,0.015927228625742956
1506456501.617,0.3,0.01569575459765129
1506456501.787,0.3,0.01569575459765151
1506456501.96,0.3,0.0016298716421987503
1506456502.131,0.3,-0.014449737558729558
1506456502.301,0.3,0.015510231383055578
1506456502.471,0.3,-0.0003948057711673879
1506456502.645,0.3,0.013909870744783835
1506456502.815,0.3,0.013909870744781436
1506456503.014,0.3,0.013909870744778797
1506456503.188,0.3,0.013909870744786387
1506456503.358,0.3,0.009572888921179863
1506456503.554,0.3,0.0035054685536680245
1506456503.732,0.3,0.003505468553665356
1506456503.904,0.3,-0.010640708756548958
1506456504.075,0.3,0.0035054685536661267
1506456504.269,0.3,0.0021098279422119477
1506456504.439,0.3,0.008294251169492428
1506456504.61,0.3,0.008720568917242195
1506456504.78,0.3,0.00872056891723138
1506456504.95,0.3,0.008720568917233993
1506456505.141,0.3,0.008720568917242374
1506456505.324,0.3,0.0041079221915145386
1506456505.495,0.3,-0.012170236705115557
1506456505.665,0.3,0.002108053560523103
1506456505.837,0.3,0.04419942032329957
1506456506.008,0.3,0.016129226074480984
1506456506.21,0.3,-0.012170236705120034
1506456506.384,0.3,0.0194447979422601
1506456506.555,0.3,0.04915312132461316
1506456506.724,0.3,0.008960844611863352
1506456506.911,0.3,-0.005252939630859905
1506456507.084,0.3,-0.005252939630853377
1506456507.254,0.3,0.006786820192990492
1506456507.44,0.3,0.019322518637822573
1506456507.61,0.3,0.008729466376709072
1506456507.779,0.3,0.008729466376718824
1506456507.977,0.3,0.008729466376715369
1506456508.156,0.3,0.008729466376715764
1506456508.326,0.3,0.0035559615750725693
1506456508.495,0.3,-0.06687851755170471
1506456508.664,0.3,-0.06915822098286148
1506456508.837,0.3,-0.012169606620837905
1506456509.006,0.3,-0.012169606620846343
1506456509.176,0.3,0.04448380504531181
1506456509.349,0.3,-0.007866771000497246
1506456509.521,0.3,0.0
1506456509.726,0.3,0.0
1506456509.895,0.3,0.0
1506456510.046,0.3,0.0
1506456510.216,0.3,0.0
1506456510.402,0.3,0.007707671551266166
1506456510.575,0.3,0.012207827066072468
1506456510.745,0.3,0.012207827066068025
1506456510.927,0.3,-0.027467797240654193
1506456511.096,0.3,-0.04488959229682345
1506456511.266,0.0,0.012207827066069984
1506456511.435,0.0,0.013231590906510604
1506456511.609,0.0,0.013363864498236186
1506456511.779,0.0,0.013363864498234167
1506456511.978,0.0,0.013363864498233942
1506456512.151,0.0,0.015088499812135064
1506456512.321,0.0,0.013363864498234167
