time,yaw
1506456461.865,1.592551210441338
1506456462.051,1.578561056853968
1506456462.224,1.565548727922217
1506456462.425,1.5602388219606629
1506456462.599,1.5584180069534348
1506456462.769,1.5566390492175963
1506456462.97,1.554535694509833
1506456463.144,1.5527148795026042
1506456463.314,1.5521153209787586
1506456463.484,1.5553803439772398
1506456463.655,1.5586645715927019
1506456463.826,1.5619487992081638
1506456463.997,1.565233026823626
1506456464.167,1.5684980498221064
1506456464.337,1.5682388901890099
1506456464.511,1.5618671723958484
1506456464.681,1.555641928967096
1506456464.852,1.546489781407703
1506456465.036,1.5397518733381825
1506456465.207,1.5334900135009946
1506456465.378,1.5390929187905953
1506456465.547,1.5523285257850905
1506456465.722,1.5660340395220724
1506456465.894,1.579504618560097
1506456466.097,1.5954030055322985
1506456466.27,1.5195740921917023
1506456466.44,1.5167615905741625
1506456466.61,1.5131930631833335
1506456466.785,1.5095195715974445
1506456466.955,1.500448427276097
1506456467.155,1.4962501547527447
1506456467.324,1.4978857654644802
1506456467.498,1.5044079517386115
1506456467.667,1.5131965130696183
1506456467.838,1.478678181147601
1506456468.022,1.4944199007285284
1506456468.195,1.5032904840050507
1506456468.366,1.5040900334707301
1506456468.566,1.5134781151637298
1506456468.739,1.5111864020857055
1506456468.908,1.5086109902075018
1506456469.098,1.5042765079989178
1506456469.272,1.5062087716755588
1506456469.441,1.5124116641886867
1506456469.614,1.5144308900170056
1506456469.788,1.5154243617545538
1506456469.958,1.5198748097108397
1506456470.141,1.5268828057121286
1506456470.312,1.5268269147063642
1506456470.483,1.5284112137557262
1506456470.653,1.537017209607043
1506456470.853,1.547141896409088
1506456471.044,1.5568109807537458
1506456471.215,1.5654675964181988
1506456471.386,1.5715974566982867
1506456471.591,1.577300061135946
1506456471.763,1.58208467965305
1506456471.933,1.5868136670812985
1506456472.134,1.5924049960768023
1506456472.317,1.597038405817456
1506456472.491,1.599780910087875
1506456472.712,1.6032642045538608
1506456472.901,1.60624313322597
1506456473.078,1.6090329223767275
1506456473.247,1.6116966172606373
1506456473.42,1.6166842086769033
1506456473.589,1.6219953919446766
1506456473.759,1.627338007564046
1506456473.944,1.6331520260364099
1506456474.114,1.6384946416557795
1506456474.344,1.6471456808412057
1506456474.515,1.656062517882119
1506456474.706,1.6660222588222418
1506456474.876,1.6748869419655188
1506456475.077,1.6853681348552456
1506456475.251,1.6944414087242803
1506456475.421,1.7013726578335608
1506456475.621,1.7090700404615171
1506456475.8,1.7159591924538238
1506456475.97,1.7225019690639862
1506456476.172,1.730276319920868
1506456476.346,1.7367265641971719
1506456476.516,1.742661096638923
1506456476.71,1.7494334425857967
1506456476.885,1.755542515693095
1506456477.055,1.7614770481348463
1506456477.241,1.7679701173647109
1506456477.427,1.7718363738240404
1506456477.596,1.7747756150120952
1506456477.792,1.778184442645025
1506456477.996,1.7817324042379805
1506456478.165,1.7846716454260367
1506456478.367,1.7884974847965942
1506456478.536,1.792048064866121
1506456478.706,1.7956196577825956
1506456478.944,1.8006198838584422
1506456479.114,1.8041914767749168
1506456479.285,1.8078624419206089
1506456479.517,1.8151452361490543
1506456479.692,1.820638724658774
1506456479.863,1.8260066492992348
1506456480.065,1.8323477107660957
1506456480.238,1.837778413599044
1506456480.408,1.8409941910085186
1506456480.579,1.843567431257134
1506456480.763,1.8463362981252485
1506456480.937,1.848954683254345
1506456481.147,1.8521148033614558
1506456481.338,1.8554175336644585
1506456481.512,1.8627174832766324
1506456481.714,1.8711921321353948
1506456481.884,1.8783242689984194
1506456482.076,1.8863793809830363
1506456482.269,1.8944764536568512
1506456482.444,1.8986388265400926
1506456482.614,2.1343214103020745
1506456482.784,2.2213920314521283
1506456482.987,2.161598733172312
1506456483.161,1.807508344761936
1506456483.336,1.8030049888063788
1506456483.507,1.80228834856549
1506456483.734,1.8000733630500658
1506456483.908,1.8281600344526687
1506456484.111,1.8344790503556927
1506456484.298,1.8365337122435639
1506456484.469,1.8390961194692192
1506456484.642,1.8413429195155109
1506456484.815,1.854313892447827
1506456484.986,1.8683850297689955
1506456485.165,1.8762875753426553
1506456485.339,1.8851659667394947
1506456485.509,1.8896131081746148
1506456485.679,1.904231661612081
1506456485.85,1.9024303145566872
1506456486.02,1.900052838699857
1506456486.191,1.9036130136976959
1506456486.362,1.9168350139369197
1506456486.553,1.9542795506987352
